mpg,displacement,horsepower,weight,acceleration,year,name,origin_1,origin_2,origin_3,cylinders_4,cylinders_5,cylinders_6,cylinders_8
29.0,135.0,84,2525,16.0,82,dodge aries se,True,False,False,True,False,False,False
27.0,151.0,90,2735,18.0,82,pontiac phoenix,True,False,False,True,False,False,False
24.0,140.0,92,2865,16.4,82,ford fairmont futura,True,False,False,True,False,False,False
36.0,105.0,74,1980,15.3,82,volkswagen rabbit l,False,True,False,True,False,False,False
37.0,91.0,68,2025,18.2,82,mazda glc custom l,False,False,True,True,False,False,False
31.0,91.0,68,1970,17.6,82,mazda glc custom,False,False,True,True,False,False,False
36.0,98.0,70,2125,17.3,82,mercury lynx l,True,False,False,True,False,False,False
36.0,120.0,88,2160,14.5,82,nissan stanza xe,False,False,True,True,False,False,False
36.0,107.0,75,2205,14.5,82,honda accord,False,False,True,True,False,False,False
34.0,108.0,70,2245,16.9,82,toyota corolla,False,False,True,True,False,False,False
38.0,91.0,67,1965,15.0,82,honda civic,False,False,True,True,False,False,False
32.0,91.0,67,1965,15.7,82,honda civic (auto),False,False,True,True,False,False,False
38.0,91.0,67,1995,16.2,82,datsun 310 gx,False,False,True,True,False,False,False
25.0,181.0,110,2945,16.4,82,buick century limited,True,False,False,False,False,True,False
26.0,156.0,92,2585,14.5,82,chrysler lebaron medallion,True,False,False,True,False,False,False
22.0,232.0,112,2835,14.7,82,ford granada l,True,False,False,False,False,True,False
32.0,144.0,96,2665,13.9,82,toyota celica gt,False,False,True,True,False,False,False
36.0,135.0,84,2370,13.0,82,dodge charger 2.2,True,False,False,True,False,False,False
27.0,151.0,90,2950,17.3,82,chevrolet camaro,True,False,False,True,False,False,False
27.0,140.0,86,2790,15.6,82,ford mustang gl,True,False,False,True,False,False,False
32.0,135.0,84,2295,11.6,82,dodge rampage,True,False,False,True,False,False,False
28.0,120.0,79,2625,18.6,82,ford ranger,True,False,False,True,False,False,False
31.0,119.0,82,2720,19.4,82,chevy s-10,True,False,False,True,False,False,False
