name,mpg,displacement,horsepower,weight,acceleration,year,cylinders_4,cylinders_5,cylinders_6,cylinders_8,origin_1,origin_2,origin_3
dodge aries se,29.0,135.0,84,2525,16.0,82,True,False,False,False,True,False,False
pontiac phoenix,27.0,151.0,90,2735,18.0,82,True,False,False,False,True,False,False
ford fairmont futura,24.0,140.0,92,2865,16.4,82,True,False,False,False,True,False,False
volkswagen rabbit l,36.0,105.0,74,1980,15.3,82,True,False,False,False,False,True,False
mazda glc custom l,37.0,91.0,68,2025,18.2,82,True,False,False,False,False,False,True
mazda glc custom,31.0,91.0,68,1970,17.6,82,True,False,False,False,False,False,True
mercury lynx l,36.0,98.0,70,2125,17.3,82,True,False,False,False,True,False,False
nissan stanza xe,36.0,120.0,88,2160,14.5,82,True,False,False,False,False,False,True
honda accord,36.0,107.0,75,2205,14.5,82,True,False,False,False,False,False,True
toyota corolla,34.0,108.0,70,2245,16.9,82,True,False,False,False,False,False,True
honda civic,38.0,91.0,67,1965,15.0,82,True,False,False,False,False,False,True
honda civic (auto),32.0,91.0,67,1965,15.7,82,True,False,False,False,False,False,True
datsun 310 gx,38.0,91.0,67,1995,16.2,82,True,False,False,False,False,False,True
buick century limited,25.0,181.0,110,2945,16.4,82,False,False,True,False,True,False,False
chrysler lebaron medallion,26.0,156.0,92,2585,14.5,82,True,False,False,False,True,False,False
ford granada l,22.0,232.0,112,2835,14.7,82,False,False,True,False,True,False,False
toyota celica gt,32.0,144.0,96,2665,13.9,82,True,False,False,False,False,False,True
dodge charger 2.2,36.0,135.0,84,2370,13.0,82,True,False,False,False,True,False,False
chevrolet camaro,27.0,151.0,90,2950,17.3,82,True,False,False,False,True,False,False
ford mustang gl,27.0,140.0,86,2790,15.6,82,True,False,False,False,True,False,False
dodge rampage,32.0,135.0,84,2295,11.6,82,True,False,False,False,True,False,False
ford ranger,28.0,120.0,79,2625,18.6,82,True,False,False,False,True,False,False
chevy s-10,31.0,119.0,82,2720,19.4,82,True,False,False,False,True,False,False
