mpg,cylinders,acceleration,year,origin,name,displacement_log,horsepower_log,weight_log
34.3,4,15.8,80,2,audi 4000,4.574710978503383,4.356708826689592,7.690743163541872
29.8,4,15.5,80,3,toyota corona liftback,4.897839799950911,4.499809670330265,7.905072849498666
31.3,4,17.5,80,3,mazda 626,4.787491742782046,4.31748811353631,7.8407064517494
37.0,4,15.0,80,3,datsun 510 hatchback,4.77912349311153,4.5217885770490405,7.797291273547472
32.2,4,15.2,80,3,toyota corolla,4.68213122712422,4.31748811353631,7.725330037917135
46.6,4,17.9,80,3,mazda glc,4.454347296253507,4.174387269895637,7.6544432264701125
27.9,4,14.4,80,1,dodge colt,5.049856007249537,4.653960350157523,7.937374696163295
40.8,4,19.2,80,3,datsun 210,4.442651256490317,4.174387269895637,7.6544432264701125
44.3,4,21.7,80,2,vw rabbit c (diesel),4.499809670330265,3.871201010907891,7.642524134232902
36.4,5,19.9,80,2,audi 5000s (diesel),4.795790545596741,4.204692619390966,7.989560449333865
30.0,4,21.8,80,2,mercedes-benz 240d,4.983606621708336,4.204692619390966,8.086410275323782
44.6,4,13.8,80,3,honda civic 1500 gl,4.51085950651685,4.204692619390966,7.52294091807237
33.8,4,18.0,80,3,subaru dl,4.574710978503383,4.204692619390966,7.6708948313621175
29.8,4,15.3,80,2,vokswagen rabbit,4.48863636973214,4.127134385045092,7.520234556474628
32.7,6,11.4,80,3,datsun 280-zx,5.123963979403259,4.882801922586371,7.975908360165538
35.0,4,15.1,80,2,triumph tr7 coupe,4.804021044733257,4.477336814478207,7.824046010856292
32.4,4,17.0,80,3,honda accord,4.672828834461906,4.276666119016055,7.736307096548285
27.2,4,15.7,81,1,plymouth reliant,4.90527477843843,4.430816798843313,7.820037989458753
26.6,4,16.4,81,1,buick skylark,5.017279836814924,4.430816798843313,7.876638460975463
25.8,4,14.4,81,1,dodge aries wagon (sw),5.049856007249537,4.5217885770490405,7.8709295967551425
23.5,6,12.6,81,1,chevrolet citation,5.153291594497779,4.700480365792417,7.9102237070973445
30.0,4,12.9,81,1,plymouth reliant,4.90527477843843,4.430816798843313,7.776954403322442
39.1,4,16.9,81,3,toyota starlet,4.3694478524670215,4.060443010546419,7.470224135899966
39.0,4,16.4,81,1,plymouth champ,4.454347296253507,4.1588830833596715,7.536363938404511
35.1,4,16.1,81,3,honda civic 1300,4.394449154672439,4.0943445622221,7.473069088032197
32.3,4,17.8,81,3,subaru,4.574710978503383,4.204692619390966,7.632885505395133
37.0,4,19.4,81,3,datsun 210 mpg,4.442651256490317,4.174387269895637,7.5883236773352225
37.7,4,17.3,81,3,toyota tercel,4.48863636973214,4.127134385045092,7.6255950721324535
34.1,4,16.0,81,3,mazda glc 4,4.51085950651685,4.219507705176107,7.59337419312129
34.7,4,14.9,81,1,plymouth horizon 4,4.653960350157523,4.143134726391533,7.703007682479236
34.4,4,16.2,81,1,ford escort 4w,4.584967478670572,4.174387269895637,7.623153068476902
29.9,4,20.7,81,1,ford escort 2h,4.584967478670572,4.174387269895637,7.77485576666552
33.0,4,14.2,81,2,volkswagen jetta,4.653960350157523,4.30406509320417,7.691656822810547
33.7,4,14.4,81,3,honda prelude,4.672828834461906,4.31748811353631,7.700747794511798
32.4,4,16.8,81,3,toyota corolla,4.68213122712422,4.31748811353631,7.762170607138205
32.9,4,14.8,81,3,datsun 200sx,4.77912349311153,4.605170185988092,7.869019376499023
31.6,4,18.3,81,3,mazda 626,4.787491742782046,4.30406509320417,7.876638460975463
28.1,4,20.4,81,2,peugeot 505s turbo diesel,4.948759890378168,4.382026634673881,8.080237416216702
30.7,6,19.6,81,2,volvo diesel,4.976733742420574,4.330733340286331,8.058327306580958
25.4,6,12.6,81,3,toyota cressida,5.123963979403259,4.7535901911063645,7.9724660159745655
24.2,6,13.8,81,3,datsun 810 maxima,4.983606621708336,4.787491742782046,7.982757702011113
22.4,6,15.8,81,1,buick century,5.442417710521793,4.700480365792417,8.13593277200489
26.6,8,19.0,81,1,oldsmobile cutlass ls,5.857933154483459,4.653960350157523,8.22282213081366
20.2,6,17.1,81,1,ford granada gl,5.298317366548036,4.477336814478207,8.026170194946426
17.6,6,16.6,81,1,chrysler lebaron salon,5.41610040220442,4.442651256490317,8.150467911624004
28.0,4,19.6,82,1,chevrolet cavalier,4.718498871295094,4.477336814478207,7.865187954187467
27.0,4,18.6,82,1,chevrolet cavalier wagon,4.718498871295094,4.477336814478207,7.878534196140362
34.0,4,18.0,82,1,chevrolet cavalier 2-door,4.718498871295094,4.477336814478207,7.781138509845015
31.0,4,16.2,82,1,pontiac j2000 se hatchback,4.718498871295094,4.442651256490317,7.853604813097837
29.0,4,16.0,82,1,dodge aries se,4.90527477843843,4.430816798843313,7.83399634170946
27.0,4,18.0,82,1,pontiac phoenix,5.017279836814924,4.499809670330265,7.913886714856082
24.0,4,16.4,82,1,ford fairmont futura,4.941642422609304,4.5217885770490405,7.9603236291488395
36.0,4,15.3,82,2,volkswagen rabbit l,4.653960350157523,4.30406509320417,7.590852123688581
37.0,4,18.2,82,3,mazda glc custom l,4.51085950651685,4.219507705176107,7.613324979540639
31.0,4,17.6,82,3,mazda glc custom,4.51085950651685,4.219507705176107,7.585788821732034
38.0,4,14.7,82,1,plymouth horizon miser,4.653960350157523,4.143134726391533,7.661527081358517
36.0,4,17.3,82,1,mercury lynx l,4.584967478670572,4.248495242049359,7.661527081358517
36.0,4,14.5,82,3,nissan stanza xe,4.787491742782046,4.477336814478207,7.67786350067821
36.0,4,14.5,82,3,honda accord,4.672828834461906,4.31748811353631,7.6984827878809465
34.0,4,16.9,82,3,toyota corolla,4.68213122712422,4.248495242049359,7.716460800176355
38.0,4,15.0,82,3,honda civic,4.51085950651685,4.204692619390966,7.583247524303362
32.0,4,15.7,82,3,honda civic (auto),4.51085950651685,4.204692619390966,7.583247524303362
38.0,4,16.2,82,3,datsun 310 gx,4.51085950651685,4.204692619390966,7.598399329323964
25.0,6,16.4,82,1,buick century limited,5.198497031265826,4.700480365792417,7.987864096085687
38.0,6,17.0,82,1,oldsmobile cutlass ciera (diesel),5.568344503761097,4.442651256490317,8.011355109161286
26.0,4,14.5,82,1,chrysler lebaron medallion,5.049856007249537,4.5217885770490405,7.85748078694253
22.0,6,14.7,82,1,ford granada l,5.44673737166631,4.718498871295094,7.949797216161852
32.0,4,13.9,82,3,toyota celica gt,4.969813299576001,4.564348191467836,7.887959336599945
36.0,4,13.0,82,1,dodge charger 2.2,4.90527477843843,4.430816798843313,7.7706452341291765
27.0,4,17.3,82,1,chevrolet camaro,5.017279836814924,4.499809670330265,7.989560449333865
27.0,4,15.6,82,1,ford mustang gl,4.941642422609304,4.454347296253507,7.933796874815411
32.0,4,11.6,82,1,dodge rampage,4.90527477843843,4.430816798843313,7.738488122494646
28.0,4,18.6,82,1,ford ranger,4.787491742782046,4.3694478524670215,7.872836175025724
31.0,4,19.4,82,1,chevy s-10,4.77912349311153,4.406719247264253,7.908387159290043
